"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"709","10/11/2019","M'gladbach","Werder Bremen",3,1,"H"
"710","10/11/2019","Wolfsburg","Leverkusen",0,2,"A"
"711","10/11/2019","Freiburg","Ein Frankfurt",1,0,"H"
"712","22/11/2019","Dortmund","Paderborn",3,3,"D"
"713","23/11/2019","Ein Frankfurt","Wolfsburg",0,2,"A"
"714","23/11/2019","Fortuna Dusseldorf","Bayern Munich",0,4,"A"
"715","23/11/2019","Leverkusen","Freiburg",1,1,"D"
"716","23/11/2019","Union Berlin","M'gladbach",2,0,"H"
"717","23/11/2019","Werder Bremen","Schalke 04",1,2,"A"
"718","23/11/2019","RB Leipzig","FC Koln",4,1,"H"
"719","24/11/2019","Augsburg","Hertha",4,0,"H"
"720","24/11/2019","Hoffenheim","Mainz",1,5,"A"
"721","29/11/2019","Schalke 04","Union Berlin",2,1,"H"
"722","30/11/2019","FC Koln","Augsburg",1,1,"D"
"723","30/11/2019","Hertha","Dortmund",1,2,"A"
"724","30/11/2019","Hoffenheim","Fortuna Dusseldorf",1,1,"D"
"725","30/11/2019","Paderborn","RB Leipzig",2,3,"A"
"726","30/11/2019","Bayern Munich","Leverkusen",1,2,"A"
"727","01/12/2019","M'gladbach","Freiburg",4,2,"H"
"728","01/12/2019","Wolfsburg","Werder Bremen",2,3,"A"
"729","02/12/2019","Mainz","Ein Frankfurt",2,1,"H"
"730","06/12/2019","Ein Frankfurt","Hertha",2,2,"D"
"731","07/12/2019","Augsburg","Mainz",2,1,"H"
"732","07/12/2019","Dortmund","Fortuna Dusseldorf",5,0,"H"
"733","07/12/2019","Freiburg","Wolfsburg",1,0,"H"
"734","07/12/2019","M'gladbach","Bayern Munich",2,1,"H"
"735","07/12/2019","RB Leipzig","Hoffenheim",3,1,"H"
"736","07/12/2019","Leverkusen","Schalke 04",2,1,"H"
"737","08/12/2019","Union Berlin","FC Koln",2,0,"H"
"738","08/12/2019","Werder Bremen","Paderborn",0,1,"A"
"739","13/12/2019","Hoffenheim","Augsburg",2,4,"A"
"740","14/12/2019","Bayern Munich","Werder Bremen",6,1,"H"
"741","14/12/2019","FC Koln","Leverkusen",2,0,"H"
"742","14/12/2019","Hertha","Freiburg",1,0,"H"
"743","14/12/2019","Mainz","Dortmund",0,4,"A"
"744","14/12/2019","Paderborn","Union Berlin",1,1,"D"
"745","14/12/2019","Fortuna Dusseldorf","RB Leipzig",0,3,"A"
"746","15/12/2019","Wolfsburg","M'gladbach",2,1,"H"
"747","15/12/2019","Schalke 04","Ein Frankfurt",1,0,"H"
"748","17/12/2019","Werder Bremen","Mainz",0,5,"A"
"749","17/12/2019","Augsburg","Fortuna Dusseldorf",3,0,"H"
"750","17/12/2019","Dortmund","RB Leipzig",3,3,"D"
"751","17/12/2019","Union Berlin","Hoffenheim",0,2,"A"
"752","18/12/2019","Leverkusen","Hertha",0,1,"A"
"753","18/12/2019","Ein Frankfurt","FC Koln",2,4,"A"
"754","18/12/2019","Freiburg","Bayern Munich",1,3,"A"
"755","18/12/2019","M'gladbach","Paderborn",2,0,"H"
"756","18/12/2019","Wolfsburg","Schalke 04",1,1,"D"
"757","20/12/2019","Hoffenheim","Dortmund",2,1,"H"
"758","21/12/2019","Bayern Munich","Wolfsburg",2,0,"H"
"759","21/12/2019","FC Koln","Werder Bremen",1,0,"H"
"760","21/12/2019","Mainz","Leverkusen",0,1,"A"
"761","21/12/2019","RB Leipzig","Augsburg",3,1,"H"
"762","21/12/2019","Schalke 04","Freiburg",2,2,"D"
"763","21/12/2019","Hertha","M'gladbach",0,0,"D"
"764","22/12/2019","Fortuna Dusseldorf","Union Berlin",2,1,"H"
"765","22/12/2019","Paderborn","Ein Frankfurt",2,1,"H"
"766","17/01/2020","Schalke 04","M'gladbach",2,0,"H"
"767","18/01/2020","Augsburg","Dortmund",3,5,"A"
"768","18/01/2020","FC Koln","Wolfsburg",3,1,"H"
"769","18/01/2020","Fortuna Dusseldorf","Werder Bremen",0,1,"A"
"770","18/01/2020","Hoffenheim","Ein Frankfurt",1,2,"A"
"771","18/01/2020","Mainz","Freiburg",1,2,"A"
"772","18/01/2020","RB Leipzig","Union Berlin",3,1,"H"
"773","19/01/2020","Hertha","Bayern Munich",0,4,"A"
"774","19/01/2020","Paderborn","Leverkusen",1,4,"A"
"775","24/01/2020","Dortmund","FC Koln",5,1,"H"
"776","25/01/2020","Ein Frankfurt","RB Leipzig",2,0,"H"
"777","25/01/2020","Freiburg","Paderborn",0,2,"A"
"778","25/01/2020","M'gladbach","Mainz",3,1,"H"
"779","25/01/2020","Union Berlin","Augsburg",2,0,"H"
"780","25/01/2020","Wolfsburg","Hertha",1,2,"A"
"781","25/01/2020","Bayern Munich","Schalke 04",5,0,"H"
"782","26/01/2020","Werder Bremen","Hoffenheim",0,3,"A"
"783","26/01/2020","Leverkusen","Fortuna Dusseldorf",3,0,"H"
"784","31/01/2020","Hertha","Schalke 04",0,0,"D"
"785","01/02/2020","Augsburg","Werder Bremen",2,1,"H"
"786","01/02/2020","Dortmund","Union Berlin",5,0,"H"
"787","01/02/2020","Fortuna Dusseldorf","Ein Frankfurt",1,1,"D"
"788","01/02/2020","Hoffenheim","Leverkusen",2,1,"H"
"789","01/02/2020","Mainz","Bayern Munich",1,3,"A"
"790","01/02/2020","RB Leipzig","M'gladbach",2,2,"D"
"791","02/02/2020","FC Koln","Freiburg",4,0,"H"
"792","02/02/2020","Paderborn","Wolfsburg",2,4,"A"
"793","07/02/2020","Ein Frankfurt","Augsburg",5,0,"H"
"794","08/02/2020","Freiburg","Hoffenheim",1,0,"H"
"795","08/02/2020","Hertha","Mainz",1,3,"A"
"796","08/02/2020","Schalke 04","Paderborn",1,1,"D"
"797","08/02/2020","Werder Bremen","Union Berlin",0,2,"A"
"798","08/02/2020","Wolfsburg","Fortuna Dusseldorf",1,1,"D"
"799","08/02/2020","Leverkusen","Dortmund",4,3,"H"
"800","09/02/2020","Bayern Munich","RB Leipzig",0,0,"D"
"801","14/02/2020","Dortmund","Ein Frankfurt",4,0,"H"
"802","15/02/2020","Augsburg","Freiburg",1,1,"D"
"803","15/02/2020","Hoffenheim","Wolfsburg",2,3,"A"
"804","15/02/2020","Paderborn","Hertha",1,2,"A"
"805","15/02/2020","RB Leipzig","Werder Bremen",3,0,"H"
"806","15/02/2020","Union Berlin","Leverkusen",2,3,"A"
"807","15/02/2020","Fortuna Dusseldorf","M'gladbach",1,4,"A"
"808","16/02/2020","FC Koln","Bayern Munich",1,4,"A"
"809","16/02/2020","Mainz","Schalke 04",0,0,"D"
"810","21/02/2020","Bayern Munich","Paderborn",3,2,"H"
"811","22/02/2020","Freiburg","Fortuna Dusseldorf",0,2,"A"
"812","22/02/2020","Hertha","FC Koln",0,5,"A"
"813","22/02/2020","M'gladbach","Hoffenheim",1,1,"D"
"814","22/02/2020","Werder Bremen","Dortmund",0,2,"A"
"815","22/02/2020","Schalke 04","RB Leipzig",0,5,"A"
"816","23/02/2020","Leverkusen","Augsburg",2,0,"H"
"817","23/02/2020","Wolfsburg","Mainz",4,0,"H"
"818","24/02/2020","Ein Frankfurt","Union Berlin",1,2,"A"
"819","28/02/2020","Fortuna Dusseldorf","Hertha",3,3,"D"
"820","29/02/2020","Augsburg","M'gladbach",2,3,"A"
"821","29/02/2020","Dortmund","Freiburg",1,0,"H"
"822","29/02/2020","Hoffenheim","Bayern Munich",0,6,"A"
"823","29/02/2020","Mainz","Paderborn",2,0,"H"
"824","29/02/2020","FC Koln","Schalke 04",3,0,"H"
"825","01/03/2020","Union Berlin","Wolfsburg",2,2,"D"
"826","01/03/2020","RB Leipzig","Leverkusen",1,1,"D"
"827","06/03/2020","Paderborn","FC Koln",1,2,"A"
"828","07/03/2020","Freiburg","Union Berlin",3,1,"H"
"829","07/03/2020","Hertha","Werder Bremen",2,2,"D"
"830","07/03/2020","Leverkusen","Ein Frankfurt",4,0,"H"
"831","07/03/2020","Schalke 04","Hoffenheim",1,1,"D"
"832","07/03/2020","Wolfsburg","RB Leipzig",0,0,"D"
"833","07/03/2020","M'gladbach","Dortmund",1,2,"A"
"834","08/03/2020","Bayern Munich","Augsburg",2,0,"H"
"835","08/03/2020","Mainz","Fortuna Dusseldorf",1,1,"D"
"836","11/03/2020","M'gladbach","FC Koln",2,1,"H"
"837","16/05/2020","Augsburg","Wolfsburg",1,2,"A"
"838","16/05/2020","Dortmund","Schalke 04",4,0,"H"
"839","16/05/2020","Fortuna Dusseldorf","Paderborn",0,0,"D"
"840","16/05/2020","Hoffenheim","Hertha",0,3,"A"
"841","16/05/2020","RB Leipzig","Freiburg",1,1,"D"
"842","16/05/2020","Ein Frankfurt","M'gladbach",1,3,"A"
"843","17/05/2020","FC Koln","Mainz",2,2,"D"
"844","17/05/2020","Union Berlin","Bayern Munich",0,2,"A"
"845","18/05/2020","Werder Bremen","Leverkusen",1,4,"A"
"846","22/05/2020","Hertha","Union Berlin",4,0,"H"
"847","23/05/2020","Freiburg","Werder Bremen",0,1,"A"
"848","23/05/2020","M'gladbach","Leverkusen",1,3,"A"
"849","23/05/2020","Paderborn","Hoffenheim",1,1,"D"
"850","23/05/2020","Wolfsburg","Dortmund",0,2,"A"
"851","23/05/2020","Bayern Munich","Ein Frankfurt",5,2,"H"
"852","24/05/2020","Schalke 04","Augsburg",0,3,"A"
"853","24/05/2020","Mainz","RB Leipzig",0,5,"A"
"854","24/05/2020","FC Koln","Fortuna Dusseldorf",2,2,"D"
"855","26/05/2020","Dortmund","Bayern Munich",0,1,"A"
"856","26/05/2020","Ein Frankfurt","Freiburg",3,3,"D"
"857","26/05/2020","Leverkusen","Wolfsburg",1,4,"A"
"858","26/05/2020","Werder Bremen","M'gladbach",0,0,"D"
"859","27/05/2020","RB Leipzig","Hertha",2,2,"D"
"860","27/05/2020","Augsburg","Paderborn",0,0,"D"
"861","27/05/2020","Fortuna Dusseldorf","Schalke 04",2,1,"H"
"862","27/05/2020","Hoffenheim","FC Koln",3,1,"H"
"863","27/05/2020","Union Berlin","Mainz",1,1,"D"
"864","29/05/2020","Freiburg","Leverkusen",0,1,"A"
"865","30/05/2020","Hertha","Augsburg",2,0,"H"
"866","30/05/2020","Mainz","Hoffenheim",0,1,"A"
"867","30/05/2020","Schalke 04","Werder Bremen",0,1,"A"
"868","30/05/2020","Wolfsburg","Ein Frankfurt",1,2,"A"
"869","30/05/2020","Bayern Munich","Fortuna Dusseldorf",5,0,"H"
"870","31/05/2020","M'gladbach","Union Berlin",4,1,"H"
"871","31/05/2020","Paderborn","Dortmund",1,6,"A"
"872","01/06/2020","FC Koln","RB Leipzig",2,4,"A"
"873","03/06/2020","Werder Bremen","Ein Frankfurt",0,3,"A"
"874","05/06/2020","Freiburg","M'gladbach",1,0,"H"
"875","06/06/2020","Ein Frankfurt","Mainz",0,2,"A"
"876","06/06/2020","Fortuna Dusseldorf","Hoffenheim",2,2,"D"
"877","06/06/2020","Leverkusen","Bayern Munich",2,4,"A"
"878","06/06/2020","RB Leipzig","Paderborn",1,1,"D"
"879","06/06/2020","Dortmund","Hertha",1,0,"H"
"880","07/06/2020","Werder Bremen","Wolfsburg",0,1,"A"
"881","07/06/2020","Union Berlin","Schalke 04",1,1,"D"
"882","07/06/2020","Augsburg","FC Koln",1,1,"D"
"883","12/06/2020","Hoffenheim","RB Leipzig",0,2,"A"
"884","13/06/2020","FC Koln","Union Berlin",1,2,"A"
"885","13/06/2020","Fortuna Dusseldorf","Dortmund",0,1,"A"
"886","13/06/2020","Hertha","Ein Frankfurt",1,4,"A"
"887","13/06/2020","Paderborn","Werder Bremen",1,5,"A"
"888","13/06/2020","Wolfsburg","Freiburg",2,2,"D"
"889","13/06/2020","Bayern Munich","M'gladbach",2,1,"H"
"890","14/06/2020","Mainz","Augsburg",0,1,"A"
"891","14/06/2020","Schalke 04","Leverkusen",1,1,"D"
"892","16/06/2020","M'gladbach","Wolfsburg",3,0,"H"
"893","16/06/2020","Freiburg","Hertha",2,1,"H"
"894","16/06/2020","Union Berlin","Paderborn",1,0,"H"
"895","16/06/2020","Werder Bremen","Bayern Munich",0,1,"A"
"896","17/06/2020","Ein Frankfurt","Schalke 04",2,1,"H"
"897","17/06/2020","Augsburg","Hoffenheim",1,3,"A"
"898","17/06/2020","Dortmund","Mainz",0,2,"A"
"899","17/06/2020","Leverkusen","FC Koln",3,1,"H"
"900","17/06/2020","RB Leipzig","Fortuna Dusseldorf",2,2,"D"
"901","20/06/2020","Bayern Munich","Freiburg",3,1,"H"
"902","20/06/2020","FC Koln","Ein Frankfurt",1,1,"D"
"903","20/06/2020","Fortuna Dusseldorf","Augsburg",1,1,"D"
"904","20/06/2020","Hertha","Leverkusen",2,0,"H"
"905","20/06/2020","Hoffenheim","Union Berlin",4,0,"H"
"906","20/06/2020","Mainz","Werder Bremen",3,1,"H"
"907","20/06/2020","Paderborn","M'gladbach",1,3,"A"
"908","20/06/2020","RB Leipzig","Dortmund",0,2,"A"
"909","20/06/2020","Schalke 04","Wolfsburg",1,4,"A"
"910","27/06/2020","Augsburg","RB Leipzig",1,2,"A"
"911","27/06/2020","Dortmund","Hoffenheim",0,4,"A"
"912","27/06/2020","Ein Frankfurt","Paderborn",3,2,"H"
"913","27/06/2020","Freiburg","Schalke 04",4,0,"H"
"914","27/06/2020","Leverkusen","Mainz",1,0,"H"
"915","27/06/2020","M'gladbach","Hertha",2,1,"H"
"916","27/06/2020","Union Berlin","Fortuna Dusseldorf",3,0,"H"
"917","27/06/2020","Werder Bremen","FC Koln",6,1,"H"
"918","27/06/2020","Wolfsburg","Bayern Munich",0,4,"A"
"919","18/09/2020","Bayern Munich","Schalke 04",8,0,"H"
"920","19/09/2020","Ein Frankfurt","Bielefeld",1,1,"D"
"921","19/09/2020","FC Koln","Hoffenheim",2,3,"A"
"922","19/09/2020","Stuttgart","Freiburg",2,3,"A"
"923","19/09/2020","Union Berlin","Augsburg",1,3,"A"
"924","19/09/2020","Werder Bremen","Hertha",1,4,"A"
"925","19/09/2020","Dortmund","M'gladbach",3,0,"H"
"926","20/09/2020","RB Leipzig","Mainz",3,1,"H"
"927","20/09/2020","Wolfsburg","Leverkusen",0,0,"D"
"928","25/09/2020","Hertha","Ein Frankfurt",1,3,"A"
"929","26/09/2020","Augsburg","Dortmund",2,0,"H"
"930","26/09/2020","Bielefeld","FC Koln",1,0,"H"
"931","26/09/2020","Leverkusen","RB Leipzig",1,1,"D"
"932","26/09/2020","Mainz","Stuttgart",1,4,"A"
"933","26/09/2020","M'gladbach","Union Berlin",1,1,"D"
"934","26/09/2020","Schalke 04","Werder Bremen",1,3,"A"
"935","27/09/2020","Hoffenheim","Bayern Munich",4,1,"H"
"936","27/09/2020","Freiburg","Wolfsburg",1,1,"D"
"937","02/10/2020","Union Berlin","Mainz",4,0,"H"
"938","03/10/2020","Dortmund","Freiburg",4,0,"H"
"939","03/10/2020","Ein Frankfurt","Hoffenheim",2,1,"H"
"940","03/10/2020","FC Koln","M'gladbach",1,3,"A"
"941","03/10/2020","Stuttgart","Leverkusen",1,1,"D"
"942","03/10/2020","Werder Bremen","Bielefeld",1,0,"H"
"943","03/10/2020","RB Leipzig","Schalke 04",4,0,"H"
"944","04/10/2020","Wolfsburg","Augsburg",0,0,"D"
"945","04/10/2020","Bayern Munich","Hertha",4,3,"H"
"946","17/10/2020","Augsburg","RB Leipzig",0,2,"A"
"947","17/10/2020","Freiburg","Werder Bremen",1,1,"D"
"948","17/10/2020","Hertha","Stuttgart",0,2,"A"
"949","17/10/2020","Hoffenheim","Dortmund",0,1,"A"
"950","17/10/2020","Mainz","Leverkusen",0,1,"A"
"951","17/10/2020","Bielefeld","Bayern Munich",1,4,"A"
"952","17/10/2020","M'gladbach","Wolfsburg",1,1,"D"
"953","18/10/2020","FC Koln","Ein Frankfurt",1,1,"D"
"954","18/10/2020","Schalke 04","Union Berlin",1,1,"D"
"955","23/10/2020","Stuttgart","FC Koln",1,1,"D"
"956","24/10/2020","Bayern Munich","Ein Frankfurt",5,0,"H"
"957","24/10/2020","Mainz","M'gladbach",2,3,"A"
"958","24/10/2020","RB Leipzig","Hertha",2,1,"H"
"959","24/10/2020","Union Berlin","Freiburg",1,1,"D"
"960","24/10/2020","Dortmund","Schalke 04",3,0,"H"
"961","25/10/2020","Wolfsburg","Bielefeld",2,1,"H"
"962","25/10/2020","Werder Bremen","Hoffenheim",1,1,"D"
"963","26/10/2020","Leverkusen","Augsburg",3,1,"H"
"964","30/10/2020","Schalke 04","Stuttgart",1,1,"D"
"965","31/10/2020","Augsburg","Mainz",3,1,"H"
"966","31/10/2020","Bielefeld","Dortmund",0,2,"A"
"967","31/10/2020","Ein Frankfurt","Werder Bremen",1,1,"D"
"968","31/10/2020","FC Koln","Bayern Munich",1,2,"A"
"969","31/10/2020","M'gladbach","RB Leipzig",1,0,"H"
"970","01/11/2020","Freiburg","Leverkusen",2,4,"A"
"971","01/11/2020","Hertha","Wolfsburg",1,1,"D"
"972","02/11/2020","Hoffenheim","Union Berlin",1,3,"A"
"973","06/11/2020","Werder Bremen","FC Koln",1,1,"D"
"974","07/11/2020","Augsburg","Hertha",0,3,"A"
"975","07/11/2020","Mainz","Schalke 04",2,2,"D"
"976","07/11/2020","RB Leipzig","Freiburg",3,0,"H"
"977","07/11/2020","Stuttgart","Ein Frankfurt",2,2,"D"
"978","07/11/2020","Union Berlin","Bielefeld",5,0,"H"
"979","07/11/2020","Dortmund","Bayern Munich",2,3,"A"
"980","08/11/2020","Wolfsburg","Hoffenheim",2,1,"H"
"981","08/11/2020","Leverkusen","M'gladbach",4,3,"H"
"982","21/11/2020","Bayern Munich","Werder Bremen",1,1,"D"
"983","21/11/2020","Bielefeld","Leverkusen",1,2,"A"
"984","21/11/2020","Hoffenheim","Stuttgart",3,3,"D"
"985","21/11/2020","M'gladbach","Augsburg",1,1,"D"
"986","21/11/2020","Schalke 04","Wolfsburg",0,2,"A"
"987","21/11/2020","Ein Frankfurt","RB Leipzig",1,1,"D"
"988","21/11/2020","Hertha","Dortmund",2,5,"A"
"989","22/11/2020","Freiburg","Mainz",1,3,"A"
"990","22/11/2020","FC Koln","Union Berlin",1,2,"A"
"991","27/11/2020","Wolfsburg","Werder Bremen",5,3,"H"
"992","28/11/2020","Augsburg","Freiburg",1,1,"D"
"993","28/11/2020","Dortmund","FC Koln",1,2,"A"
"994","28/11/2020","RB Leipzig","Bielefeld",2,1,"H"
"995","28/11/2020","Stuttgart","Bayern Munich",1,3,"A"
"996","28/11/2020","Union Berlin","Ein Frankfurt",3,3,"D"
"997","28/11/2020","M'gladbach","Schalke 04",4,1,"H"
"998","29/11/2020","Leverkusen","Hertha",0,0,"D"
"999","29/11/2020","Mainz","Hoffenheim",1,1,"D"
"1000","04/12/2020","Hertha","Union Berlin",3,1,"H"
"1001","05/12/2020","Bielefeld","Mainz",2,1,"H"
"1002","05/12/2020","Ein Frankfurt","Dortmund",1,1,"D"
"1003","05/12/2020","FC Koln","Wolfsburg",2,2,"D"
"1004","05/12/2020","Freiburg","M'gladbach",2,2,"D"
"1005","05/12/2020","Bayern Munich","RB Leipzig",3,3,"D"
"1006","06/12/2020","Werder Bremen","Stuttgart",1,2,"A"
"1007","06/12/2020","Schalke 04","Leverkusen",0,3,"A"
"1008","07/12/2020","Hoffenheim","Augsburg",3,1,"H"
"1009","11/12/2020","Wolfsburg","Ein Frankfurt",2,1,"H"
"1010","12/12/2020","Dortmund","Stuttgart",1,5,"A"
"1011","12/12/2020","Freiburg","Bielefeld",2,0,"H"
"1012","12/12/2020","Mainz","FC Koln",0,1,"A"
"1013","12/12/2020","M'gladbach","Hertha",1,1,"D"
"1014","12/12/2020","RB Leipzig","Werder Bremen",2,0,"H"
"1015","12/12/2020","Union Berlin","Bayern Munich",1,1,"D"
"1016","13/12/2020","Augsburg","Schalke 04",2,2,"D"
"1017","13/12/2020","Leverkusen","Hoffenheim",4,1,"H"
"1018","15/12/2020","Ein Frankfurt","M'gladbach",3,3,"D"
"1019","15/12/2020","Hertha","Mainz",0,0,"D"
"1020","15/12/2020","Stuttgart","Union Berlin",2,2,"D"
"1021","15/12/2020","Werder Bremen","Dortmund",1,2,"A"
"1022","16/12/2020","Schalke 04","Freiburg",0,2,"A"
"1023","16/12/2020","Bayern Munich","Wolfsburg",2,1,"H"
"1024","16/12/2020","Bielefeld","Augsburg",0,1,"A"
"1025","16/12/2020","FC Koln","Leverkusen",0,4,"A"
"1026","16/12/2020","Hoffenheim","RB Leipzig",0,1,"A"
"1027","18/12/2020","Union Berlin","Dortmund",2,1,"H"
"1028","19/12/2020","Augsburg","Ein Frankfurt",0,2,"A"
"1029","19/12/2020","Mainz","Werder Bremen",0,1,"A"
"1030","19/12/2020","M'gladbach","Hoffenheim",1,2,"A"
"1031","19/12/2020","RB Leipzig","FC Koln",0,0,"D"
"1032","19/12/2020","Schalke 04","Bielefeld",0,1,"A"
"1033","19/12/2020","Leverkusen","Bayern Munich",1,2,"A"
"1034","20/12/2020","Freiburg","Hertha",4,1,"H"
"1035","20/12/2020","Wolfsburg","Stuttgart",1,0,"H"
"1036","02/01/2021","Bielefeld","M'gladbach",0,1,"A"
"1037","02/01/2021","Ein Frankfurt","Leverkusen",2,1,"H"
"1038","02/01/2021","FC Koln","Augsburg",0,1,"A"
"1039","02/01/2021","Hoffenheim","Freiburg",1,3,"A"
"1040","02/01/2021","Werder Bremen","Union Berlin",0,2,"A"
"1041","02/01/2021","Hertha","Schalke 04",3,0,"H"
"1042","02/01/2021","Stuttgart","RB Leipzig",0,1,"A"
"1043","03/01/2021","Dortmund","Wolfsburg",2,0,"H"
"1044","03/01/2021","Bayern Munich","Mainz",5,2,"H"
"1045","08/01/2021","M'gladbach","Bayern Munich",3,2,"H"
"1046","09/01/2021","Freiburg","FC Koln",5,0,"H"
"1047","09/01/2021","Leverkusen","Werder Bremen",1,1,"D"
"1048","09/01/2021","Mainz","Ein Frankfurt",0,2,"A"
"1049","09/01/2021","Schalke 04","Hoffenheim",4,0,"H"
"1050","09/01/2021","Union Berlin","Wolfsburg",2,2,"D"
"1051","09/01/2021","RB Leipzig","Dortmund",1,3,"A"
"1052","10/01/2021","Augsburg","Stuttgart",1,4,"A"
"1053","10/01/2021","Bielefeld","Hertha",1,0,"H"
